WKT,OBJECTID,COD_ESTACI,COD_PARAME,PromedioDe,valoracion,UTMX,UTMY,HUSO,DEMARCACIO,unidades
"POINT (468204.999950603 4196976.00001027)","2247",GV10116,PO4,0.67900000000,> Valor frontera,"468205","4196976","30",CHGv,mg PO4/l
"POINT (488980.99999203 4209302.99997993)","2248",GV10122,PO4,0.10675000000,< LQ,"488981","4209303","30",CHGv,mg PO4/l
"POINT (189545.999986593 4114522.9999528)","2249",GV10180001,PO4,0.79333333333,> Valor frontera,"189546","4114523","30",CHGv,mg PO4/l
"POINT (245705.999996374 4108301.99995376)","2250",GV10200005,PO4,0.69000000000,> Valor frontera,"245706","4108302","30",CHGv,mg PO4/l
"POINT (534996.000016533 4249013.99997521)","2251",GV10210,PO4,0.38375000000,> LQ y < Valor frontera,"534996","4249014","30",CHGv,mg PO4/l
"POINT (418268.000006373 4101688.00000886)","2252",GV10250001,PO4,0.04575000000,< LQ,"418268","4101688","30",CHGv,mg PO4/l
"POINT (426122.9999964 4111469.99995102)","2253",GV10260005,PO4,0.13625000000,< LQ,"426123","4111470","30",CHGv,mg PO4/l
"POINT (464454.00003753 4110317.99996818)","2254",GV10270002,PO4,0.03800000000,< LQ,"464454","4110318","30",CHGv,mg PO4/l
"POINT (458457.000003944 4107665.00002254)","2255",GV10270003,PO4,0.11833333333,< LQ,"458457","4107665","30",CHGv,mg PO4/l
"POINT (530378.999985845 4274022.00000274)","2256",GV10339,PO4,0.05175000000,< LQ,"530379","4274022","30",CHGv,mg PO4/l
"POINT (257286.000008834 4096899.00001552)","2257",GV10350001,PO4,0.03050000000,< LQ,"257286","4096899","30",CHGv,mg PO4/l
"POINT (412484.999956888 4092982.00003522)","2258",GV10400002,PO4,0.03800000000,< LQ,"412485","4092982","30",CHGv,mg PO4/l
"POINT (499855.9999492 4235773.00004151)","2259",GV10510,PO4,0.09125000000,< LQ,"499856","4235773","30",CHGv,mg PO4/l
"POINT (498785.000024769 4234577.00001553)","2260",GV10520,PO4,0.03800000000,< LQ,"498785","4234577","30",CHGv,mg PO4/l
"POINT (497185.999998085 4266173.99996577)","2261",GV10605,PO4,0.08750000000,> LQ y < Valor frontera,"497186","4266174","30",CHGv,mg PO4/l
"POINT (449111.000025024 4214870.99998878)","2262",GV10607,PO4,0.03800000000,< LQ,"449111","4214871","30",CHGv,mg PO4/l
"POINT (454076.000008728 4237508.99997787)","2263",GV10616,PO4,0.09500000000,> LQ y < Valor frontera,"454076","4237509","30",CHGv,mg PO4/l
"POINT (482490.000015415 4237226.99999375)","2264",GV10620,PO4,0.97500000000,> Valor frontera,"482490","4237227","30",CHGv,mg PO4/l
"POINT (541812.99998183 4176723.99998169)","2265",GV20103,PO4,0.03800000000,< LQ,"541813","4176724","30",CHGv,mg PO4/l
"POINT (484186.999992851 4133549.99996774)","2266",GV20614,PO4,1.05250000000,> Valor frontera,"484187","4133550","30",CHGv,mg PO4/l
"POINT (479350.999972598 4159816.99995033)","2267",GV20615,PO4,0.52125000000,> Valor frontera,"479351","4159817","30",CHGv,mg PO4/l
"POINT (496063.000000097 4175189.99997075)","2268",GV20801,PO4,1.26540000000,> Valor frontera,"496063","4175190","30",CHGv,mg PO4/l
"POINT (481428.000045735 4187843.99997771)","2269",GV20805,PO4,0.02500000000,< LQ,"481428","4187844","30",CHGv,mg PO4/l
"POINT (454332.000016218 4113456.99999578)","2270",GV30106,PO4,0.09800000000,< LQ,"454332","4113457","30",CHGv,mg PO4/l
"POINT (446391.000029526 4104076.00001861)","2271",GV30109,PO4,0.05175000000,< LQ,"446391","4104076","30",CHGv,mg PO4/l
"POINT (432138.00002317 4118164.99995894)","2272",GV30110,PO4,1.99233333333,> Valor frontera,"432138","4118165","30",CHGv,mg PO4/l
"POINT (463179.999972755 4119628.99995911)","2273",GV30114,PO4,0.03800000000,< LQ,"463180","4119629","30",CHGv,mg PO4/l
"POINT (429906.999961436 4120897.99998809)","2274",GV30204,PO4,3.44500000000,> Valor frontera,"429907","4120898","30",CHGv,mg PO4/l
"POINT (439442.000001972 4142723.00000865)","2275",GV30307,PO4,0.31750000000,> LQ y < Valor frontera,"439442","4142723","30",CHGv,mg PO4/l
"POINT (425221.999970552 4142957.00001333)","2276",GV30308,PO4,0.13125000000,< LQ,"425222","4142957","30",CHGv,mg PO4/l
"POINT (444516.00001558 4125240.00000103)","2277",GV30309,PO4,0.63000000000,> Valor frontera,"444516","4125240","30",CHGv,mg PO4/l
"POINT (428530.999969272 4120751.00002092)","2278",GV30310,PO4,0.35000000000,> LQ y < Valor frontera,"428531","4120751","30",CHGv,mg PO4/l
"POINT (426753.999997879 4119860.9999937)","2279",GV30311,PO4,1.60000000000,> Valor frontera,"426754","4119861","30",CHGv,mg PO4/l
"POINT (432404.999955534 4122171.00002225)","2280",GV30313,PO4,0.42000000000,> Valor frontera,"432405","4122171","30",CHGv,mg PO4/l
"POINT (423897.999992711 4090245.00002206)","2281",GV30401,PO4,0.06150000000,< LQ,"423898","4090245","30",CHGv,mg PO4/l
"POINT (413184.999962281 4110954.00003735)","2282",GV30405,PO4,0.32000000000,> LQ y < Valor frontera,"413185","4110954","30",CHGv,mg PO4/l
"POINT (411018.99997891 4116787.00000939)","2283",GV30410,PO4,0.14875000000,< LQ,"411019","4116787","30",CHGv,mg PO4/l
"POINT (393423.99998693 4116653.99995113)","2284",GV30501,PO4,0.14500000000,< LQ,"393424","4116654","30",CHGv,mg PO4/l
"POINT (413554.999999378 4119110.00001076)","2285",GV30512,PO4,0.23666666667,> LQ y < Valor frontera,"413555","4119110","30",CHGv,mg PO4/l
"POINT (363513.999958779 4133070.99995716)","2286",GV30516,PO4,0.19000000000,> LQ y < Valor frontera,"363514","4133071","30",CHGv,mg PO4/l
"POINT (383217.000012459 4118654.00004292)","2287",GV30520,PO4,0.25550000000,> LQ y < Valor frontera,"383217","4118654","30",CHGv,mg PO4/l
"POINT (367970.000008973 4121185.99997628)","2288",GV30530,PO4,1.25750000000,> Valor frontera,"367970","4121186","30",CHGv,mg PO4/l
"POINT (382117.999993033 4130655.00002852)","2289",GV30540,PO4,0.09425000000,< LQ,"382118","4130655","30",CHGv,mg PO4/l
"POINT (394205.000038428 4126452.99997165)","2290",GV30550,PO4,0.03800000000,< LQ,"394205","4126453","30",CHGv,mg PO4/l
"POINT (423833.000012256 4211083.00003733)","2291",GV40103,PO4,0.07566666667,< LQ,"423833","4211083","30",CHGv,mg PO4/l
"POINT (416128.999969768 4209018.00004524)","2292",GV40205,PO4,0.23250000000,> LQ y < Valor frontera,"416129","4209018","30",CHGv,mg PO4/l
"POINT (396047.999955352 4261024.9999709)","2293",GV40302,PO4,0.02500000000,< LQ,"396048","4261025","30",CHGv,mg PO4/l
"POINT (416696.999994741 4250767.99995322)","2294",GV40346,PO4,0.42500000000,> Valor frontera,"416697","4250768","30",CHGv,mg PO4/l
"POINT (390121.000020628 4213416.99997073)","2295",GV40505,PO4,0.18925000000,> LQ y < Valor frontera,"390121","4213417","30",CHGv,mg PO4/l
"POINT (368435.999956188 4201422.00003609)","2296",GV40599,PO4,0.52262500000,> Valor frontera,"368436","4201422","30",CHGv,mg PO4/l
"POINT (371346.000010964 4202195.00001248)","2297",GV40603,PO4,0.27000000000,> LQ y < Valor frontera,"371346","4202195","30",CHGv,mg PO4/l
"POINT (380355.000042756 4209710.00000235)","2298",GV40605,PO4,0.09425000000,< LQ,"380355","4209710","30",CHGv,mg PO4/l
"POINT (370205.99996785 4208194.00003754)","2299",GV40618,PO4,0.18850000000,< LQ,"370206","4208194","30",CHGv,mg PO4/l
"POINT (383802.999960689 4207595.99999769)","2300",GV40619,PO4,0.28500000000,> LQ y < Valor frontera,"383803","4207596","30",CHGv,mg PO4/l
"POINT (385394.000006767 4209256.00004944)","2301",GV40620,PO4,0.10000000000,< LQ,"385394","4209256","30",CHGv,mg PO4/l
"POINT (318514.999992872 4208643.00001981)","2302",GV41007,PO4,0.53250000000,> Valor frontera,"318515","4208643","30",CHGv,mg PO4/l
"POINT (314394.000040384 4233261.00001111)","2303",GV41008,PO4,0.16333333333,< LQ,"314394","4233261","30",CHGv,mg PO4/l
"POINT (292518.000009814 4239468.00001257)","2304",GV41009,PO4,0.52400000000,> Valor frontera,"292518","4239468","30",CHGv,mg PO4/l
"POINT (335489.999959672 4200598.99999605)","2305",GV41010,PO4,0.10000000000,< LQ,"335490","4200599","30",CHGv,mg PO4/l
"POINT (289293.99995932 4214582.99999547)","2306",GV41200,PO4,0.08850000000,< LQ,"289294","4214583","30",CHGv,mg PO4/l
"POINT (305443.000000778 4183058.00001631)","2307",GV41205,PO4,0.13750000000,< LQ,"305443","4183058","30",CHGv,mg PO4/l
"POINT (296680.999960118 4197777.99996687)","2308",GV41206,PO4,0.10000000000,< LQ,"296681","4197778","30",CHGv,mg PO4/l
"POINT (281210.000022668 4173444.00000366)","2309",GV41305,PO4,0.13750000000,< LQ,"281210","4173444","30",CHGv,mg PO4/l
"POINT (296295.99995323 4175205.00001816)","2310",GV41308,PO4,0.77000000000,> Valor frontera,"296296","4175205","30",CHGv,mg PO4/l
"POINT (296404.000039284 4176290.00001331)","2311",GV41309,PO4,0.21500000000,> LQ y < Valor frontera,"296404","4176290","30",CHGv,mg PO4/l
"POINT (293345.000009562 4186211.999958)","2312",GV41310,PO4,0.09425000000,< LQ,"293345","4186212","30",CHGv,mg PO4/l
"POINT (263740.000021421 4167080.99995486)","2313",GV41416,PO4,0.43750000000,> Valor frontera,"263740","4167081","30",CHGv,mg PO4/l
"POINT (241287.999965113 4193301.00001486)","2314",GV41500,PO4,0.16750000000,< LQ,"241288","4193301","30",CHGv,mg PO4/l
"POINT (223808.000013442 4186005.00000316)","2315",GV41599,PO4,0.13300000000,< LQ,"223808","4186005","30",CHGv,mg PO4/l
"POINT (219643.999993472 4174108.00003838)","2316",GV41615,PO4,0.09425000000,< LQ,"219644","4174108","30",CHGv,mg PO4/l
"POINT (229138.000040572 4154301.00004782)","2317",GV41616,PO4,4.84333333333,> Valor frontera,"229138","4154301","30",CHGv,mg PO4/l
"POINT (230692.999992219 4158097.99995926)","2318",GV41617,PO4,9.85000000000,> Valor frontera,"230693","4158098","30",CHGv,mg PO4/l
"POINT (225716.999997347 4126924.00001667)","2319",GV41618,PO4,0.07433333333,> LQ y < Valor frontera,"225717","4126924","30",CHGv,mg PO4/l
"POINT (216376.000044181 4151857.00003468)","2320",GV41798,PO4,0.10000000000,< LQ,"216376","4151857","30",CHGv,mg PO4/l
"POINT (204638.000016759 4169872.99999513)","2321",GV41801,PO4,0.08850000000,sin valoración,"204638","4169873","30",CHGv,mg PO4/l
"POINT (387993.000000887 4205188.99995503)","2322",GV50215,PO4,0.27216666667,> LQ y < Valor frontera,"387993","4205189","30",CHGv,mg PO4/l
"POINT (412012.99999647 4192720.00000809)","2323",GV50304,PO4,0.58333333333,> Valor frontera,"412013","4192720","30",CHGv,mg PO4/l
"POINT (377094.99998103 4170339.99997969)","2324",GV50505,PO4,0.43666666667,> Valor frontera,"377095","4170340","30",CHGv,mg PO4/l
"POINT (397543.999985297 4168125.00002222)","2325",GV50506,PO4,0.04450000000,< LQ,"397544","4168125","30",CHGv,mg PO4/l
"POINT (353413.999993978 4178088.00001312)","2326",GV50706,PO4,2.44500000000,> Valor frontera,"353414","4178088","30",CHGv,mg PO4/l
"POINT (360057.000010615 4139925.99997846)","2327",GV51008,PO4,1.62750000000,> Valor frontera,"360057","4139926","30",CHGv,mg PO4/l
"POINT (328392.000039327 4155081.00005076)","2328",GV51101,PO4,0.98033333333,> Valor frontera,"328392","4155081","30",CHGv,mg PO4/l
"POINT (319195.000001695 4153522.99995041)","2329",GV51104,PO4,0.32412500000,> LQ y < Valor frontera,"319195","4153523","30",CHGv,mg PO4/l
"POINT (349782.000045018 4192678.99996352)","2330",GV51305,PO4,0.10000000000,< LQ,"349782","4192679","30",CHGv,mg PO4/l
