WKT,OBJECTID,COD_ESTACI,COD_METRIC,MínDeVALO,UTMX,UTMY,HUSO,NOM_DEMARC
"POINT (951686.254665365 4619465.29377743)","1","120001000",IBMWP,<Valor frontera M/B,"451593","4605424","31",CIC
"POINT (117841.762319348 4805299.32842972)","2",NO00470003,IBMWP,>Valor frontera M/B,"604505","4795316","29",CHMS
"POINT (131218.897655375 4789768.70025169)","3",NO00470009,IBMWP,<Valor frontera M/B,"618939","4780808","29",CHMS
"POINT (134802.97653405 4803166.25213572)","4",NO00480003,IBMWP,>Valor frontera M/B,"621549","4794408","29",CHMS
"POINT (138414.229258455 4796870.18919782)","5",NO00480004,IBMWP,>Valor frontera M/B,"625597","4788396","29",CHMS
"POINT (140277.699947086 4794525.41109254)","6",NO00480012,IBMWP,>Valor frontera M/B,"627621","4786194","29",CHMS
"POINT (131103.020876336 4765658.28982406)","7",NO00720007,IBMWP,<Valor frontera M/B,"620545","4756787","29",CHMS
"POINT (124865.828025343 4780297.02278203)","8",NO00720025,IBMWP,>Valor frontera M/B,"613289","4770921","29",CHMS
"POINT (129955.316719503 4771619.24550629)","9",NO00720028,IBMWP,<Valor frontera M/B,"618977","4762642","29",CHMS
"POINT (120842.229622614 4757346.78658242)","10",NO00970005,IBMWP,>Valor frontera M/B,"610918","4747779","29",CHMS
"POINT (136198.134020844 4757775.9087428)","11",NO00980003,IBMWP,>Valor frontera M/B,"626181","4749299","29",CHMS
"POINT (141146.974399051 4761208.14578253)","12",NO00980007,IBMWP,>Valor frontera M/B,"630866","4753070","29",CHMS
"POINT (144158.698112562 4753507.84254976)","13",NO00980032 ,IBMWP,>Valor frontera M/B,"634414","4745614","29",CHMS
"POINT (205523.221191476 4748724.41491506)","14",NO01000010 ,IBMWP,>Valor frontera M/B,"695904","4745212","29",CHMS
"POINT (233454.740003107 4759278.6177885)","15",NO01010014,IBMWP,>Valor frontera M/B,"723001","4757724","29",CHMS
"POINT (218126.789252236 4752224.20497671)","16",NO01010015,IBMWP,<Valor frontera M/B,"708220","4749598","29",CHMS
"POINT (223156.877747474 4748377.86036978)","17",NO01010030,IBMWP,>Valor frontera M/B,"713509","4746121","29",CHMS
"POINT (231625.494286634 4758491.80535998)","18",NO01010032,IBMWP,>Valor frontera M/B,"721233","4756809","29",CHMS
"POINT (142421.272025548 4749728.71283019)","19",NO01240006,IBMWP,>Valor frontera M/B,"632952","4741726","29",CHMS
"POINT (194648.739065917 4730745.47962074)","20",NO01260005,IBMWP,>Valor frontera M/B,"686341","4726518","29",CHMS
"POINT (211437.204667337 4732927.54709889)","21",NO01260008,IBMWP,<Valor frontera M/B,"702922","4729884","29",CHMS
"POINT (194497.706614592 4730822.43797848)","22",NO01260009,IBMWP,>Valor frontera M/B,"686185","4726584","29",CHMS
"POINT (201316.524634836 4737925.37705745)","23",NO01260011,IBMWP,>Valor frontera M/B,"692478","4734148","29",CHMS
"POINT (201190.159417858 4739981.8669483)","24",NO01260012,IBMWP,>Valor frontera M/B,"692206","4736189","29",CHMS
"POINT (211913.203471975 4736035.20687463)","25",NO01260014,IBMWP,>Valor frontera M/B,"703176","4733016","29",CHMS
"POINT (197094.55069808 4746096.45424343)","26",NO01260015,IBMWP,>Valor frontera M/B,"687689","4741993","29",CHMS
"POINT (201343.761139684 4738631.68000607)","27",NO01260030,IBMWP,<Valor frontera M/B,"692455","4734854","29",CHMS
"POINT (195879.991133986 4737219.06874123)","28",NO01260031,IBMWP,>Valor frontera M/B,"687109","4733058","29",CHMS
