PARÁMETROS DE HETEROGENEIDAD =================
Number of nodes in the graph: 1521
Number of edges in the graph: 1100
Maximum degree of the Graph: 58
Minimum degree of the Graph: 1
Average degree of the nodes in the Graph: 1.4464168310322156
PARÁMETROS COMPONENTE GIGANTE =================
Connected graph: FALSE
Number of connected components: 0
Number of nodes of the largest subgraph in the graph: 1521
Number of edges of the largest subgraph in the graph: 1100
Connected largest subgraph: FALSE
Diameter of the largest subgraph: 0
PARÁMETROS DE CENTRALIDAD =================
GRAPH CENTRALITY:
 Nodo (688827.7187, 4422491.0462): 0.0006578947368421052
 Nodo (712725.1996, 4417383.2028): 0.0013157894736842105
 Nodo (739842.2464, 4395103.6318): 0.0006578947368421052
 Nodo (715202.8022, 4413328.649): 0.001973684210526316
 Nodo (715858.6407, 4413410.6142): 0.0013157894736842105
 Nodo (716277.8242, 4413703.6374): 0.0006578947368421052
 Nodo (739842.2464, 4395103.6318): 0.038157894736842106
 Nodo (715202.8022, 4413328.649): 0.012499999999999999
 Nodo (717402.7345, 4425103.5396): 0.001973684210526316
 Nodo (713794.3377, 4422115.4067): 0.0013157894736842105
 Nodo (711477.636, 4418653.7279): 0.0006578947368421052
 Nodo (717402.7345, 4425103.5396): 0.001973684210526316
 Nodo (707402.6541, 4422803.6238): 0.001973684210526316
 Nodo (709956.8526, 4421099.863): 0.0013157894736842105
 Nodo (711427.6367, 4418703.7269): 0.0006578947368421052
 Nodo (707402.6541, 4422803.6238): 0.001973684210526316
 Nodo (690865.2353, 4428090.9558): 0.0006578947368421052
 Nodo (694348.2018, 4425888.5101): 0.0013157894736842105
 Nodo (693177.7064, 4422853.5252): 0.0006578947368421052
 Nodo (690865.2353, 4428090.9558): 0.0006578947368421052
 Nodo (721927.8279, 4401503.7972): 0.001973684210526316
 Nodo (724983.7674, 4400818.936): 0.0013157894736842105
 Nodo (727427.7031, 4398753.7586): 0.0006578947368421052
 Nodo (721927.8279, 4401503.7972): 0.0013157894736842105
 Nodo (718352.8737, 4405828.7871): 0.001973684210526316
 Nodo (722162.3065, 4405437.726): 0.0013157894736842105
 Nodo (726527.7557, 4405378.7552): 0.0006578947368421052
 Nodo (718352.8737, 4405828.7871): 0.002631578947368421
 Nodo (728952.6909, 4414178.6747): 0.001973684210526316
 Nodo (724904.685, 4412701.4066): 0.0013157894736842105
 Nodo (724577.8471, 4407528.7494): 0.0006578947368421052
 Nodo (728952.6909, 4414178.6747): 0.0013157894736842105
 Nodo (717327.8851, 4410078.7015): 0.001973684210526316
 Nodo (718646.9083, 4410874.6991): 0.0013157894736842105
 Nodo (719877.8703, 4411078.7019): 0.0006578947368421052
 Nodo (717327.8851, 4410078.7015): 0.001973684210526316
 Nodo (700415.2972, 4411878.8568): 0.0006578947368421052
 Nodo (708331.3954, 4414416.3268): 0.0013157894736842105
 Nodo (716277.8242, 4413703.6374): 0.0013157894736842105
 Nodo (700415.2972, 4411878.8568): 0.0006578947368421052
 Nodo (711677.6968, 4414666.1998): 0.0006578947368421052
 Nodo (713328.5954, 4413894.0148): 0.0013157894736842105
 Nodo (711677.6968, 4414666.1998): 0.0006578947368421052
 Nodo (719690.2546, 4423991.0378): 0.0006578947368421052
 Nodo (717435.5839, 4420023.9265): 0.0013157894736842105
 Nodo (716027.7907, 4414503.6314): 0.0006578947368421052
 Nodo (719690.2546, 4423991.0378): 0.0006578947368421052
 Nodo (714277.6651, 4417591.1566): 0.0006578947368421052
 Nodo (713806.8356, 4417864.6299): 0.0013157894736842105
 Nodo (713402.6579, 4417378.6856): 0.0006578947368421052
 Nodo (714277.6651, 4417591.1566): 0.0006578947368421052
 Nodo (713065.1401, 4419003.6912): 0.0006578947368421052
 Nodo (712675.5495, 4418659.1978): 0.0013157894736842105
 Nodo (712477.629, 4418278.7252): 0.0006578947368421052
 Nodo (713065.1401, 4419003.6912): 0.0006578947368421052
 Nodo (714902.7836, 4429916.0439): 0.0006578947368421052
 Nodo (712018.1393, 4425834.2021): 0.0013157894736842105
 Nodo (712252.648, 4421153.68): 0.0006578947368421052
 Nodo (711477.636, 4418653.7279): 0.007236842105263158
 Nodo (714902.7836, 4429916.0439): 0.0006578947368421052
 Nodo (714440.2308, 4426778.5682): 0.0006578947368421052
 Nodo (715240.3345, 4425399.1356): 0.0013157894736842105
 Nodo (714627.6937, 4424103.5841): 0.0006578947368421052
 Nodo (714440.2308, 4426778.5682): 0.0006578947368421052
 Nodo (719665.2748, 4426466.026): 0.0006578947368421052
 Nodo (718897.2899, 4425308.861): 0.0013157894736842105
 Nodo (719665.2748, 4426466.026): 0.0006578947368421052
 Nodo (718715.2796, 4427728.5253): 0.0006578947368421052
 Nodo (717949.8236, 4426585.1839): 0.0013157894736842105
 Nodo (718715.2796, 4427728.5253): 0.0006578947368421052
 Nodo (708990.1819, 4416978.7414): 0.0006578947368421052
 Nodo (710473.5759, 4417499.7349): 0.0013157894736842105
 Nodo (711452.6364, 4418678.7274): 0.0006578947368421052
 Nodo (708990.1819, 4416978.7414): 0.0006578947368421052
