"AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","Eccentricity","EdgeCount","Indegree","IsSingleNode","name","NeighborhoodConnectivity","Outdegree","PartnerOfMultiEdgedNodePairs","selected","SelfLoops","shared name","Stress"
"2.0","0.011676966486176278","0.5","0.0","3","2","1","false","(813154.5987, 4732187.7037)","18.0","1","0","false","0","(813154.5987, 4732187.7037)","4395"
"2.0","0.0026303064439851","0.5","0.0","3","2","1","false","(814754.3805, 4736937.7337)","18.0","1","0","false","0","(814754.3805, 4736937.7337)","990"
"2.0","0.019336737676084403","0.5","0.0","3","2","1","false","(816329.2923, 4737887.7936)","18.0","1","0","false","0","(816329.2923, 4737887.7936)","7278"
"2.0","0.001514418861688391","0.5","0.0","3","2","1","false","(816854.2967, 4736537.8513)","18.0","1","0","false","0","(816854.2967, 4736537.8513)","570"
"2.0","0.009126366298069514","0.5","0.0","3","2","1","false","(801042.4929, 4739812.4152)","18.0","1","0","false","0","(801042.4929, 4739812.4152)","3435"
"2.9","0.01275300094053382","0.3448275862068966","0.0","5","2","1","false","(802442.3183, 4751124.8497)","4.0","1","0","false","0","(802442.3183, 4751124.8497)","5760"
"2.9","0.01246074466897992","0.3448275862068966","0.0","5","2","1","false","(800992.4112, 4751199.8984)","4.0","1","0","false","0","(800992.4112, 4751199.8984)","5628"
"2.5","0.17286692774893592","0.4","0.0","4","2","1","false","(809326.679, 4748306.4651)","5.5","1","0","false","0","(809326.679, 4748306.4651)","67264"
"3.0","0.21131456870944945","0.3333333333333333","0.0","5","9","8","false","(804954.6776, 4749474.8022)","2.2222222222222223","1","0","false","0","(804954.6776, 4749474.8022)","82285"
"4.333333333333333","0.016369008082214347","0.23076923076923078","0.0","7","2","1","false","(802880.6889, 4750698.3937)","4.0","1","0","false","0","(802880.6889, 4750698.3937)","8545"
"3.7777777777777777","0.013773241015776524","0.2647058823529412","0.0","6","2","1","false","(802042.3449, 4750624.8564)","2.5","1","0","false","0","(802042.3449, 4750624.8564)","7568"
"3.7777777777777777","0.013730731012641412","0.2647058823529412","0.0","6","2","1","false","(802767.2979, 4751612.3485)","2.5","1","0","false","0","(802767.2979, 4751612.3485)","7552"
"4.333333333333333","0.016392919958977847","0.23076923076923078","0.0","7","2","1","false","(803299.905, 4751097.8279)","4.0","1","0","false","0","(803299.905, 4751097.8279)","8554"
"4.0","0.019063079530902114","0.25","0.0","7","2","1","false","(806803.4821, 4746785.3943)","2.0","1","0","false","0","(806803.4821, 4746785.3943)","7175"
"3.5","0.021743866603610162","0.2857142857142857","0.0","6","2","1","false","(806829.5966, 4744987.2801)","5.5","1","0","false","0","(806829.5966, 4744987.2801)","8184"
"4.5","0.014687206083181449","0.2222222222222222","0.0","8","2","1","false","(807079.5621, 4748524.7814)","2.0","1","0","false","0","(807079.5621, 4748524.7814)","5528"
"2.8333333333333335","0.03674989771030496","0.3529411764705882","0.0","6","4","1","false","(808404.5102, 4746549.8073)","3.75","3","0","false","0","(808404.5102, 4746549.8073)","14145"
"3.5","0.053658251457296045","0.2857142857142857","0.0","6","2","1","false","(811016.9039, 4744937.3938)","5.5","1","0","false","0","(811016.9039, 4744937.3938)","20196"
"3.5","0.0883623552667237","0.2857142857142857","0.0","6","2","1","false","(816579.1459, 4747112.5863)","5.5","1","0","false","0","(816579.1459, 4747112.5863)","36558"
"3.5","0.006535912982023583","0.2857142857142857","0.0","6","2","1","false","(809079.4619, 4749262.324)","5.5","1","0","false","0","(809079.4619, 4749262.324)","2460"
"3.5","0.0063605592190912425","0.2857142857142857","0.0","6","2","1","false","(810229.4071, 4749312.3512)","5.5","1","0","false","0","(810229.4071, 4749312.3512)","2394"
"3.5","0.006169264204983235","0.2857142857142857","0.0","6","2","1","false","(810829.3788, 4749162.3644)","5.5","1","0","false","0","(810829.3788, 4749162.3644)","2322"
"3.5","0.005946086688523893","0.2857142857142857","0.0","6","2","1","false","(810366.92, 4746637.365)","5.5","1","0","false","0","(810366.92, 4746637.365)","2238"
"3.5","0.03070816351472706","0.2857142857142857","0.0","7","2","1","false","(807850.2468, 4747523.052)","3.5","1","0","false","0","(807850.2468, 4747523.052)","11558"
"4.166666666666667","0.02505167622256112","0.24","0.0","8","3","2","false","(807779.5277, 4748399.7909)","2.0","1","0","false","0","(807779.5277, 4748399.7909)","9755"
"4.0","0.05691026669713217","0.25","0.0","7","2","1","false","(811749.9798, 4746188.7197)","2.5","1","0","false","0","(811749.9798, 4746188.7197)","21420"
"4.5","0.058748824332725796","0.2222222222222222","0.0","8","3","2","false","(811129.3764, 4747724.8809)","2.0","1","0","false","0","(811129.3764, 4747724.8809)","22112"
"4.0","0.09750997656636078","0.25","0.0","7","2","1","false","(814324.2737, 4747733.8636)","2.0","1","0","false","0","(814324.2737, 4747733.8636)","40551"
"4.5","0.10527602276410668","0.2222222222222222","0.0","8","2","1","false","(812429.3189, 4747624.9224)","2.0","1","0","false","0","(812429.3189, 4747624.9224)","44024"
